City,Train,Test
Albuquerque,1934/3868,484/968
Atlanta,1541/3082,386/772
Boston,337/674,85/170
Charlotte,1788/3576,447/894
Chicago,88/176,22/44
Dallas,200/400,50/100
Denver,1556/3112,390/780
Detroit,27/54,7/14
Houston,630/1260,158/316
Indianapolis,28/56,8/16
Jacksonville,1768/3536,443/886
KansasCity,698/1396,175/350
LasVegas,1212/2424,303/606
LosAngeles,1536/3072,384/768
Miami,2102/4204,526/1052
Minneapolis,414/828,104/208
Montreal,636/1272,160/320
Nashville,586/1172,147/294
NewYork,5683/11366,1421/2842
Philadelphia,2756/5512,690/1380
Phoenix,2625/5250,657/1314
Pittsburgh,438/876,110/220
Portland,2918/5836,730/1460
SaintLouis,340/680,85/170
SanAntonio,121/242,31/62
SanDiego,1014/2028,254/508
SanFrancisco,1008/2016,252/504
Seattle,2009/4018,503/1006
Toronto,1422/2844,356/712
Vancouver,375/750,94/188
